광물명,라틴명,어원,생성환경,등록일자
금(gold),,"약 725년경 앵글로 색슨어의 ""금(gehl 또는 jehl)""=노란색에서 파생",석영맥과 충적 광상에서 생성,2020-10-26
금박(金箔),Aurum,"a = 4.0789 A, Z = 4; V = 67.85 A?ø","약 725년경 앵글로 색슨어의 ""금(gehl 또는 jehl)""=노란색에서 파생",2020-10-22
노감석(爐甘石),Calamina,"a = 4.65 A, c = 15.03 A, Z = 6; V = 281.77 A?ø","영국 광물학자인 제임스 스민스(James Smothson, 1765-1829)의 이름에서 유래",2020-10-22
녹반(melanterite),Melanteritum,1950년 황산 제1철(ferrous sulfage)의 의미를 가진 그리스어에서 유래,철황화광물인 황동석의 산화작용에 의해 형성되는 2차광물,2020-10-26
녹반(melanterite),,1950년 황산 제1철(ferrous sulfage)의 의미를 가진 그리스어에서 유래,철황화광물인 황동석의 산화작용에 의해 형성되는 2차광물,2020-10-26
녹반(綠礬),Melanteritum,"a = 14.077 A, b = 6.509 A, c = 11.054 A, Z = 4; V = 975.54 A?ø",1950년 황산 제1철(ferrous sulfage)의 의미를 가진 그리스어에서 유래,2020-10-22
능아연석(smithsonite),,"영국 광물학자인 제임스 스민스(James Smothson, 1765-1829)의 이름에서 유래",일반적으로 아연이 함유된 광석의 산화물로 생성,2020-10-26
대자석(代?石),Haematitum,"a = 5.032 A, c = 13.737 A, Z = 6; V = 301.20 A?ø","그리스 어인 ""haimatites(혈액)""에서 선명한 붉은색에서 유래",2020-10-22
망초(芒硝),Natrii Sulfas,"a = 12.84 A, b = 10.37 A, c = 11.52 A, Z = 4; V = 1,461.71 A?ø","라틴어의 ""sal mirabile""인 기적의 소금(miracle salt)에서 유래",2020-10-22
명반석(alunite),,"""alum(알루미늄)을 의미하는 라틴어 alunit에서 유래",주로 산성 용액이 K-장석이 풍부한 암석을 변질시킬 때 생성,2020-10-26
