순번,광물명,용도
1,고령토,도자기 내화연료 아트지의 표면도포 제지충전재
2,규사,판유리 주물사
3,규석,유리 주물사 규소철 시멘트
4,규조토,플라스틱 제지충전재 여과재 단열재 골재원료
5,규회석,비료 충전재
6,금,반도체소재 전기통신부품 장신구 치과재료 미사일 주화
7,남정석,전기로의 벽
8,납석,내화물. 고무 공업. 도자기용. 시멘트
9,네오듐,고성능 자석 원료. 유리 첨가제
10,니켈,전열선. Diesel 기관 Valve. 정밀 메타. 스테인리스강. 축전지
11,니오븀,특수강. 초전도 재료. 광학 유리
12,다이아몬드,보석. 절삭 공구. 금형. 보호 피막. 광학 부품 (적외선의 투과성)
13,대리석,건축 내장 마감 재료
14,동,전기 계기. 전선. 화폐. 동판. 건축재
15,란타늄,전자. 광학 렌즈 첨가제
16,로듐,촉매. 원자력
17,리슘,핵융합 연료. 에어컨. 용제. 고온하의 윤활제
18,마그네사이트,합금. 제당. 내화물
19,망간,제철. 건전지. 강재. 화학 약품. 성냥
20,맥반석,수질 정화 (중금속.염소.대장균.방사선 물질 등 흡착 작용). 주조용. 탈취용
21,명반석,알루미나 제조
22,몰리브덴,샤프트. 포신. 장갑판. 필라멘트. 사진. 반도체
23,바나듐,내연기관 부품. 자동차·항공기 부품. 축전지
24,백금,백금판·선(線)·박(箔). 의치 재료. 촉매. 이화학 기구. 전극. 저항체 접점. 장신구
25,베릴륨,원자로. 항공기 재료. 절연체. 특수 내화물
26,벤토나이트,주물. 시추용 이수. 토질 강화제. 토목
27,보크사이트,알미늄 제조
28,불석,탈취제. 사료. 토지 개량용. 제지 충전재. 수질 개선제. 건축 재료
29,붕소,유리 제품 (붕소구). 방부제. 시약
30,비소,살충제. 탈색제. 제초제
31,사마륨,고성능 자석 원료
32,석고,기프스. 도자기 형재. 미술 공예용. 시멘트. 비료. 농업용
33,석면,단열재. 스레트 제조용 박킹. 플라스틱 강화제. 브레이크 라이닝
34,석회석,제철. 시멘트. 농업용. 건축재. 유리. 석재
35,세륨,라이타 돌. 영사용 아크카본. 브라운관 연마재. 화학 약품. 광학 유리
36,세슘,브라운관 전자총. 안경 및 광학기구 연마재
37,수은,금·은 제련. 수은 전지. 뇌관. 온도계
38,수정,준보석 (자수정). 장신구. 안경
39,아연,도금. 함석. 합금. 방부제. 다이캐스트 재료
40,안티모니,활자. 완구 광택. 안료. 극판. 탄약
41,연,건전지. 전선 피복재. 활자. 퓨우즈. 도금
42,연옥,준보석 (옥). 공예품. 장신구
43,우라늄,핵연료. 핵무기
44,운모,절연재 (집성운모 : 전기기구. 전선. 중(重)전기기 등의 절연체). 도자기. 석재
45,유황,화약. 정유 공업. 비료. 제지. 페인트. 정수. 제강 공업. 플라스틱 제조
46,유로품,고성능 자석 원료
47,유화철,황산 제조. 제철
48,은,전기 계기. 사진 재료. 도금. 냉동기기 재료. 장신구. 주화
49,이트륨,형광체. 브라운관 발광체
50,인,비료. 비누. 사료
51,장석,도자기. 유리. 경질 유리. 브라운관. 자동차 유리. 용접봉. 석재
52,주석,석판. 감마합금. 활자. 땜납
53,중정석,시추용 이수. 페인트. 고무의 충전재
54,진주암,내화단열 연와. 건축 골재. 시추용 이수. 페인트·고무 충전재. 원예용
55,질석,골재 원료. 내장재. 흡음재
56,질코늄,주물사. 내화재. 열교환기. 핵반응로
57,창연,합금. 의약 및 화장품 원료
58,철,제철. 시멘트
59,카드뮴,도금. 안료. 플라스틱. 건전지. 합성 수지. 용접봉. PVC 안정제
60,칼륨,비료. 화약. 안료. 약품. 요업. 용접봉
61,코발트,전기 도금. 도자기 착색. 페인트. 고속절단 기구. 제트엔진 및 미사일의 핵심부품. 알니코 자석
62,크롬철,고속도강. 내식강
63,탄탈륨,고속 중성자용 원자로 구조재. 초경합금. 광학용 고굴절 분산 유리. 칼라 TV
64,텅스텐,필라멘트. 고속도강. 무기재료. 합금
65,텔루륨,합금첨가제. 광전지. 전자냉동소자
66,토륨,핵연료
67,티탄철,항공기. Jet Engine. 용접봉의 피복재. 병기. 석유화학 첨가용
68,팔라듐,촉매. 상온 핵융합 재료
69,하석,도자기. 유리
70,형석,유리공업용 용제. 냉동제. 제철·제련용 용제
71,홍주석,전기로의 벽
72,활석,제지. 화장품. 농약. 공예품
73,흑연,전극. 연필. 주물. 윤활재. 내화벽돌. 팽창흑연
74,희토류,TV 브라운관. 영구자석. 내열합금. 연마재. 원자로 구조재
